COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
Earl Grant,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
T.J. Otzelberger,-0.2,153,-0.2,156,6,2,4,0.333,4,1,1,0,0,0,0,0,7.20%,0.60%
Amir Abdur-Rahim,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Mike Boynton,-0.2,153,-0.5,213,2,1,1,0.5,1,1,0,0,0,0,0,0,3.80%,0.30%
Travis DeCuire,-0.3,188,-0.3,185,2,0,2,0,2,0,0,0,0,0,0,0,0.20%,0.00%
Kermit Davis,-0.3,188,-0.2,156,3,1,2,0.333,2,1,0,0,0,0,0,0,2.10%,0.10%
Bill Coen,-0.3,188,-0.4,207,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
Dennis Felton,-0.3,188,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
LeVelle Moton,-0.3,188,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
Jim Crews,-0.3,188,-0.7,233,4,2,2,0.5,2,2,0,0,0,0,0,0,6.50%,1.00%
Tom Penders,-0.3,188,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
Danny Manning,-0.3,188,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
Billy Gillespie,-0.3,188,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
Ken Bone,-0.3,188,-0.3,185,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
Randy Rahe,-0.3,188,-0.1,131,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
Bob Williams,-0.3,188,-0.2,156,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
Mike Montgomery,-0.3,188,-0.1,131,5,2,3,0.4,3,2,0,0,0,0,0,0,5.70%,0.60%
Jim Ferry,-0.3,188,-0.1,131,2,0,2,0,2,0,0,0,0,0,0,0,0.10%,0.00%
Richard Pitino,-0.3,188,-0.8,243,3,1,2,0.333,2,1,0,0,0,0,0,0,2.40%,0.20%
Ray Harper,-0.3,188,-0.2,156,4,0,4,0,4,0,0,0,0,0,0,0,0.00%,0.00%
Shantay Legans,-0.3,188,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Nathan Davis,-0.3,188,-0.4,207,2,0,2,0,2,0,0,0,0,0,0,0,0.20%,0.00%
Andy Kennedy,-0.3,188,-0.7,233,4,1,3,0.25,3,1,0,0,0,0,0,0,2.80%,0.20%
Lamont Paris,-0.3,188,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
Joe Dooley,-0.3,188,-0.2,156,2,0,2,0,2,0,0,0,0,0,0,0,0.10%,0.00%
Danny Sprinkle,-0.4,209,-0.3,185,2,0,2,0,2,0,0,0,0,0,0,0,0.20%,0.00%
Wes Miller,-0.4,209,-0.5,213,2,0,2,0,2,0,0,0,0,0,0,0,0.20%,0.00%
Jon Scheyer,-0.4,209,-0.2,156,2,1,1,0.5,1,1,0,0,0,0,0,0,8.70%,1.40%
Bob Marlin,-0.4,209,-0.4,207,2,0,2,0,2,0,0,0,0,0,0,0,0.30%,0.00%
Jeff Jones,-0.4,209,-0.4,207,3,0,3,0,3,0,0,0,0,0,0,0,0.20%,0.00%
Al Skinner,-0.4,209,-0.9,245,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
Patrick Ewing,-0.4,209,-0.5,213,1,0,1,0,1,0,0,0,0,0,0,0,0.90%,0.00%
Scott Sutton,-0.4,209,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
Ronnie Arrow,-0.4,209,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
Derek Kellogg,-0.4,209,-1.1,253,1,0,1,0,1,0,0,0,0,0,0,0,0.50%,0.00%
Will Brown,-0.4,209,-0.3,185,3,0,3,0,3,0,0,0,0,0,0,0,0.00%,0.00%
Lon Kruger,-0.4,209,-1.1,253,19,9,10,0.474,10,5,2,1,1,0,0,1,37.70%,5.70%
Eric Henderson,-0.4,209,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
Blaine Taylor,-0.5,222,-0.3,185,3,1,2,0.333,2,1,0,0,0,0,0,0,4.40%,0.40%
Greg Kampe,-0.5,222,-0.4,207,2,0,2,0,2,0,0,0,0,0,0,0,0.60%,0.00%
Niko Medved,-0.5,222,-1.1,253,1,0,1,0,1,0,0,0,0,0,0,0,0.80%,0.10%
Mike Woodson,-0.6,225,-1.1,253,3,1,2,0.333,2,1,0,0,0,0,0,0,5.10%,0.50%
Mark Adams,-0.6,225,0.2,86,3,2,1,0.667,1,1,1,0,0,0,0,0,23.50%,7.70%
Joe Pasternack,-0.6,225,-0.7,233,2,0,2,0,2,0,0,0,0,0,0,0,0.30%,0.00%
Rob Senderoff,-0.6,225,-0.4,207,2,0,2,0,2,0,0,0,0,0,0,0,0.50%,0.00%
Dan Monson,-0.6,225,-0.5,213,1,0,1,0,1,0,0,0,0,0,0,0,1.60%,0.20%
Jim Christian,-0.6,225,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,0.60%,0.00%
Tony Barbee,-0.6,225,-0.5,213,1,0,1,0,1,0,0,0,0,0,0,0,2.20%,0.20%
Ernie Kent,-0.6,225,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,0.80%,0.10%
Dino Gaudio,-0.6,225,-1.2,263,3,1,2,0.333,2,1,0,0,0,0,0,0,5.20%,0.40%
Drew Valentine,-0.7,234,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,1.30%,0.10%
Mike Lonergan,-0.7,234,-0.6,222,2,0,2,0,2,0,0,0,0,0,0,0,1.30%,0.10%
Kevin O'Neill,-0.7,234,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,2.60%,0.20%
Ed DeChillis,-0.7,234,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,1.40%,0.10%
Tom Crean,-0.7,234,-0.7,233,12,7,5,0.583,5,4,3,0,0,0,0,1,49.10%,12.90%
Tim Cluess,-0.7,234,-0.6,222,5,0,5,0,5,0,0,0,0,0,0,0,0.30%,0.00%
Johnny Jones,-0.8,240,-0.7,233,4,0,4,0,4,0,0,0,0,0,0,0,0.60%,0.00%
